,,,,,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category
Change Control and Configuration Management,Quality Testing,CCC-02,"Follow a defined quality change control, approval and testing process
with established baselines, testing, and release standards.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,Training,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Continuous monitoring, Continuous improvement",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Change Control and Configuration Management,Change Management Technology,CCC-03,"Implement and enforce a procedure to manage the risks associated with applying changes to organization
assets, including application, systems, infrastructure, configuration, AI/ML artifacts, etc.,
regardless of whether the assets are managed internally or externally (i.e.,
outsourced).",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Change Control and Configuration Management,Unauthorized Change Protection,CCC-04,"Restrict the unauthorized addition, removal, update, and management
of organization assets.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning",Training,,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Change Control and Configuration Management,Change Agreements,CCC-05,"Include provisions limiting changes directly impacting CSCs owned
environments/tenants to explicitly authorized requests within service level
agreements between CSPs and CSCs.",Cloud-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Data storage, Resource provisioning",Training,,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Change Control and Configuration Management,Change Management Baseline,CCC-06,"Establish change management baselines for all relevant authorized
changes on organization assets.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",,,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,"Implement detection measures with proactive notification in case
of changes deviating from the established baseline.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Change Control and Configuration Management,Exception Management,CCC-08,"'Implement a procedure for the management of exceptions, including
emergencies, in the change and configuration process. Align the procedure with
the requirements of GRC-04: Policy Exception Process.'
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,"Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Change Control and Configuration Management,Change Restoration,CCC-09,"Define and implement a process to proactively roll back changes to
a previous known good state in case of errors or security concerns.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data curation, Data storage, Resource provisioning","Training, Guardrails",Re-evaluation,"Orchestration, AI Services supply chain, AI applications","Maintenance, Continuous improvement",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Cryptography, Encryption and Key Management. 
Review and update the policies and procedures at least annually.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management
roles and responsibilities.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data curation, Data storage, Team and expertise",Training,N/A,"Orchestration, AI Services supply chain, AI applications","Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Data Encryption,CEK-03,"Provide cryptographic protection to data at-rest and in-transit,
using cryptographic libraries certified to approved standards.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data curation, Data storage",Training,"Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Maintenance, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Encryption Algorithm,CEK-04,"Use encryption algorithms that are appropriate for data protection,
considering the classification of data, associated risks, and usability of the
encryption technology.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage",Training,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate
changes from internal and external sources, for review, approval, implementation
and communication of cryptographic, encryption and key management technology
changes.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",Guardrails,N/A,"Orchestration, AI Services supply chain, AI applications","Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Encryption Change Cost Benefit Analysis,CEK-06,"Manage and adopt changes to cryptography-, encryption-, and key management-related
systems (including policies and procedures) that fully account for downstream
effects of proposed changes, including residual risk, cost, and benefits analysis.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",Guardrails,Re-evaluation,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Encryption Risk Management,CEK-07,"Establish and maintain an encryption and key management risk program
that includes provisions for risk assessment, risk treatment, risk context,
monitoring, and feedback.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,N/A,"Orchestration, AI Services supply chain, AI applications","Maintenance, Continuous monitoring, Continuous improvement","Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",CSC Key Management Capability,CEK-08,"CSPs must provide the capability for CSCs to manage their own data
encryption keys.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared across the supply chain,Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,N/A,N/A,N/A,Data deletion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Encryption and Key Management Audit,CEK-09,"Audit encryption and key management systems, policies, and processes
with a frequency that is proportional to the risk exposure of the system with
audit occurring preferably continuously but at least annually and after any
security event(s).",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,Re-evaluation,"AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Key Generation,CEK-10,"Generate Cryptographic keys using industry accepted cryptographic
libraries specifying the algorithm strength and the random number generator
used.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Data storage,N/A,N/A,"Orchestration, AI Services supply chain, AI applications","Maintenance, Continuous monitoring",Data deletion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Key Purpose,CEK-11,"Manage cryptographic secret and private keys that are provisioned
for a unique purpose.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod,
which includes provisions for considering the risk of information disclosure
and legal and regulatory requirements.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Cryptography, Encryption & Key Management",Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical
measures to revoke and remove cryptographic keys prior to the end of its established
cryptoperiod, when a key is compromised, or an entity is no longer part of the
organization, which include provisions for legal and regulatory requirements.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
